YIELD,NXTOP4,N2XTOP4,OBS,N,N2,BV,BV2,NXBV,BVXT4,BV2XT4
93.14,124.6,15525.16,1,124.6,15525.16,174.53,30460.721,21746.438,174.53,30460.72
94.98,124.6,15525.16,2,124.6,15525.16,173.25,30015.563,21586.95,173.25,30015.56
94.81,124.6,15525.16,3,124.6,15525.16,175.09,30656.508,21816.214,175.09,30656.51
97.95,124.6,15525.16,4,124.6,15525.16,174.08,30303.846,21690.368,174.08,30303.85
95.74,124.6,15525.16,5,124.6,15525.16,170.89,29203.392,21292.894,170.89,29203.39
104.31,124.6,15525.16,6,124.6,15525.16,173.53,30112.661,21621.838,173.53,30112.66
100.69,124.6,15525.16,7,124.6,15525.16,175.75,30888.063,21898.45,175.75,30888.06
96.33,124.6,15525.16,8,124.6,15525.16,176.35,31099.322,21973.21,176.35,31099.32
100.44,124.6,15525.16,9,124.6,15525.16,179.49,32216.66,22364.454,179.49,32216.66
91.47,124.6,15525.16,10,124.6,15525.16,179.65,32274.123,22384.39,179.65,32274.12
87.74,124.6,15525.16,11,124.6,15525.16,178.87,31994.477,22287.202,178.87,31994.48
83.71,124.6,15525.16,12,124.6,15525.16,180.66,32638.036,22510.236,180.66,32638.04
82.7,124.6,15525.16,13,124.6,15525.16,180.27,32497.273,22461.642,180.27,32497.27
68.56,124.6,15525.16,14,124.6,15525.16,178.78,31962.288,22275.988,178.78,31962.29
60.63,124.6,15525.16,15,124.6,15525.16,180.58,32609.136,22500.268,180.58,32609.14
58.71,124.6,15525.16,16,124.6,15525.16,177.93,31659.085,22170.078,177.93,31659.08
57.63,124.6,15525.16,17,124.6,15525.16,177.62,31548.864,22131.452,177.62,31548.86
56.71,124.6,15525.16,18,124.6,15525.16,177.71,31580.844,22142.666,177.71,31580.84
57.99,124.6,15525.16,19,124.6,15525.16,176.91,31297.148,22042.986,176.91,31297.15
53.72,124.6,15525.16,20,124.6,15525.16,177.37,31460.117,22100.302,177.37,31460.12
52.06,124.6,15525.16,21,124.6,15525.16,173.85,30223.822,21661.71,173.85,30223.82
52.51,124.6,15525.16,22,124.6,15525.16,178.33,31801.589,22219.918,178.33,31801.59
62.98,124.6,15525.16,23,124.6,15525.16,181.74,33029.428,22644.804,181.74,33029.43
56.59,124.6,15525.16,24,124.6,15525.16,179.73,32302.873,22394.358,179.73,32302.87
54.31,124.6,15525.16,25,124.6,15525.16,177.37,31460.117,22100.302,177.37,31460.12
56.21,124.6,15525.16,26,124.6,15525.16,176.16,31032.346,21949.536,176.16,31032.35
57.16,124.6,15525.16,27,124.6,15525.16,176.33,31092.269,21970.718,176.33,31092.27
53.31,124.6,15525.16,28,124.6,15525.16,177.98,31676.88,22176.308,177.98,31676.88
54.55,124.6,15525.16,29,124.6,15525.16,171.94,29563.364,21423.724,171.94,29563.36
87.73,75.4,5685.16,95,75.4,5685.16,166.49,27718.92,12553.346,166.49,27718.92
98.59,75.4,5685.16,96,75.4,5685.16,171.17,29299.169,12906.218,171.17,29299.17
104.14,75.4,5685.16,97,75.4,5685.16,175.16,30681.026,13207.064,175.16,30681.03
92.39,75.4,5685.16,98,75.4,5685.16,175.09,30656.508,13201.786,175.09,30656.51
19.41,75.4,5685.16,99,75.4,5685.16,177.46,31492.052,13380.484,177.46,31492.05
108.03,75.4,5685.16,100,75.4,5685.16,173.7,30171.69,13096.98,173.7,30171.69
93.42,75.4,5685.16,101,75.4,5685.16,181.37,32895.077,13675.298,181.37,32895.08
90.68,75.4,5685.16,102,75.4,5685.16,193.82,37566.192,14614.028,193.82,37566.19
86.41,75.4,5685.16,103,75.4,5685.16,170.22,28974.848,12834.588,170.22,28974.85
90.84,75.4,5685.16,104,75.4,5685.16,176.97,31318.381,13343.538,176.97,31318.38
83.2,75.4,5685.16,105,75.4,5685.16,179.78,32320.848,13555.412,179.78,32320.85
81.9,75.4,5685.16,106,75.4,5685.16,183.94,33833.924,13869.076,183.94,33833.92
64.39,75.4,5685.16,107,75.4,5685.16,179.65,32274.123,13545.61,179.65,32274.12
58.88,75.4,5685.16,108,75.4,5685.16,177.68,31570.182,13397.072,177.68,31570.18
56.97,75.4,5685.16,109,75.4,5685.16,180.74,32666.948,13627.796,180.74,32666.95
55.63,75.4,5685.16,110,75.4,5685.16,181.21,32837.064,13663.234,181.21,32837.06
57.33,75.4,5685.16,111,75.4,5685.16,180.94,32739.284,13642.876,180.94,32739.28
59.34,75.4,5685.16,112,75.4,5685.16,177.52,31513.35,13385.008,177.52,31513.35
55.37,75.4,5685.16,113,75.4,5685.16,178.85,31987.322,13485.29,178.85,31987.32
51.18,75.4,5685.16,114,75.4,5685.16,174.83,30565.529,13182.182,174.83,30565.53
54.64,75.4,5685.16,115,75.4,5685.16,174.48,30443.27,13155.792,174.48,30443.27
54.59,75.4,5685.16,116,75.4,5685.16,170.78,29165.808,12876.812,170.78,29165.81
54.32,75.4,5685.16,117,75.4,5685.16,176.07,31000.645,13275.678,176.07,31000.65
51.67,75.4,5685.16,118,75.4,5685.16,178.19,31751.676,13435.526,178.19,31751.68
55.62,75.4,5685.16,119,75.4,5685.16,176.99,31325.46,13345.046,176.99,31325.46
55.5,75.4,5685.16,120,75.4,5685.16,177.84,31627.066,13409.136,177.84,31627.07
52.21,75.4,5685.16,121,75.4,5685.16,180.94,32739.284,13642.876,180.94,32739.28
46.68,75.4,5685.16,122,75.4,5685.16,179.22,32119.808,13513.188,179.22,32119.81
101.66,99.8,9960.04,189,99.8,9960.04,181.24,32847.938,18087.752,181.24,32847.94
101.85,99.8,9960.04,190,99.8,9960.04,166.78,27815.568,16644.644,166.78,27815.57
102.43,99.8,9960.04,191,99.8,9960.04,163.67,26787.869,16334.266,163.67,26787.87
91.04,99.8,9960.04,192,99.8,9960.04,174.33,30390.949,17398.134,174.33,30390.95
97.84,99.8,9960.04,193,99.8,9960.04,176.85,31275.922,17649.63,176.85,31275.92
108.81,99.8,9960.04,194,99.8,9960.04,173.91,30244.688,17356.218,173.91,30244.69
100.97,99.8,9960.04,195,99.8,9960.04,174.49,30446.76,17414.102,174.49,30446.76
100.54,99.8,9960.04,196,99.8,9960.04,177.22,31406.928,17686.556,177.22,31406.93
81.87,99.8,9960.04,197,99.8,9960.04,181.47,32931.361,18110.706,181.47,32931.36
80.83,99.8,9960.04,198,99.8,9960.04,175.27,30719.573,17491.946,175.27,30719.57
83.37,99.8,9960.04,199,99.8,9960.04,167.71,28126.644,16737.458,167.71,28126.64
68.92,99.8,9960.04,200,99.8,9960.04,177.97,31673.321,17761.406,177.97,31673.32
71.09,99.8,9960.04,201,99.8,9960.04,183.23,33573.233,18286.354,183.23,33573.23
62.83,99.8,9960.04,202,99.8,9960.04,176.12,31018.254,17576.776,176.12,31018.25
56.89,99.8,9960.04,203,99.8,9960.04,177.64,31555.97,17728.472,177.64,31555.97
52.46,99.8,9960.04,204,99.8,9960.04,179.92,32371.206,17956.016,179.92,32371.21
49.47,99.8,9960.04,205,99.8,9960.04,179.88,32356.814,17952.024,179.88,32356.81
51.45,99.8,9960.04,206,99.8,9960.04,177.81,31616.396,17745.438,177.81,31616.4
51.2,99.8,9960.04,207,99.8,9960.04,179.12,32083.974,17876.176,179.12,32083.97
51.88,99.8,9960.04,208,99.8,9960.04,173.81,30209.916,17346.238,173.81,30209.92
48.81,99.8,9960.04,209,99.8,9960.04,177.28,31428.198,17692.544,177.28,31428.2
48.7,99.8,9960.04,210,99.8,9960.04,178.18,31748.112,17782.364,178.18,31748.11
51.12,99.8,9960.04,211,99.8,9960.04,179.95,32382.002,17959.01,179.95,32382
53.92,99.8,9960.04,212,99.8,9960.04,177.75,31595.063,17739.45,177.75,31595.06
53.33,99.8,9960.04,213,99.8,9960.04,176.59,31184.028,17623.682,176.59,31184.03
53.56,99.8,9960.04,214,99.8,9960.04,178.95,32023.102,17859.21,178.95,32023.1
51.44,99.8,9960.04,215,99.8,9960.04,179.28,32141.318,17892.144,179.28,32141.32
51.49,99.8,9960.04,216,99.8,9960.04,179.1,32076.81,17874.18,179.1,32076.81
49.12,99.8,9960.04,217,99.8,9960.04,175.89,30937.292,17553.822,175.89,30937.29
89.94,50.6,2560.36,377,50.6,2560.36,178.19,31751.676,9016.414,178.19,31751.68
88.9,50.6,2560.36,378,50.6,2560.36,177.86,31634.18,8999.716,177.86,31634.18
86.18,50.6,2560.36,379,50.6,2560.36,178.57,31887.245,9035.642,178.57,31887.24
94.35,50.6,2560.36,380,50.6,2560.36,177.02,31336.08,8957.212,177.02,31336.08
89.24,50.6,2560.36,381,50.6,2560.36,177.79,31609.284,8996.174,177.79,31609.28
82.68,50.6,2560.36,382,50.6,2560.36,171.87,29539.297,8696.622,171.87,29539.3
85.11,50.6,2560.36,383,50.6,2560.36,173.53,30112.661,8780.618,173.53,30112.66
88.28,50.6,2560.36,384,50.6,2560.36,175.17,30684.529,8863.602,175.17,30684.53
78.65,50.6,2560.36,385,50.6,2560.36,175,30625,8855,175,30625
71.89,50.6,2560.36,386,50.6,2560.36,174.1,30310.81,8809.46,174.1,30310.81
67.38,50.6,2560.36,387,50.6,2560.36,181.66,33000.356,9191.996,181.66,33000.36
63.49,50.6,2560.36,388,50.6,2560.36,180.59,32612.748,9137.854,180.59,32612.75
60.31,50.6,2560.36,389,50.6,2560.36,176.3,31081.69,8920.78,176.3,31081.69
63.89,50.6,2560.36,390,50.6,2560.36,180.6,32616.36,9138.36,180.6,32616.36
59.14,50.6,2560.36,391,50.6,2560.36,178.08,31712.486,9010.848,178.08,31712.49
57.27,50.6,2560.36,392,50.6,2560.36,179.67,32281.309,9091.302,179.67,32281.31
55.12,50.6,2560.36,393,50.6,2560.36,181.6,32978.56,9188.96,181.6,32978.56
49.83,50.6,2560.36,394,50.6,2560.36,177.69,31573.736,8991.114,177.69,31573.74
53.19,50.6,2560.36,395,50.6,2560.36,176.43,31127.545,8927.358,176.43,31127.54
52.67,50.6,2560.36,396,50.6,2560.36,176.58,31180.496,8934.948,176.58,31180.5
58.34,50.6,2560.36,397,50.6,2560.36,175.78,30898.608,8894.468,175.78,30898.61
54.2,50.6,2560.36,398,50.6,2560.36,179.17,32101.889,9066.002,179.17,32101.89
50.97,50.6,2560.36,399,50.6,2560.36,179.63,32266.937,9089.278,179.63,32266.94
58.05,50.6,2560.36,400,50.6,2560.36,181.03,32771.861,9160.118,181.03,32771.86
57.84,50.6,2560.36,401,50.6,2560.36,179.03,32051.741,9058.918,179.03,32051.74
56.78,50.6,2560.36,402,50.6,2560.36,179.24,32126.978,9069.544,179.24,32126.98
59.56,50.6,2560.36,403,50.6,2560.36,186,34596,9411.6,186,34596
49.91,50.6,2560.36,404,50.6,2560.36,181.89,33083.972,9203.634,181.89,33083.97
101.28,39,1521,471,39,1521,177.85,31630.622,6936.15,177.85,31630.62
95.22,39,1521,472,39,1521,181,32761,7059,181,32761
101.49,39,1521,473,39,1521,180,32400,7020,180,32400
103.1,39,1521,474,39,1521,176.98,31321.92,6902.22,176.98,31321.92
102.36,39,1521,475,39,1521,175.37,30754.637,6839.43,175.37,30754.64
97.92,39,1521,476,39,1521,179.39,32180.772,6996.21,179.39,32180.77
94.72,39,1521,477,39,1521,168.56,28412.474,6573.84,168.56,28412.47
86.77,39,1521,478,39,1521,162.3,26341.29,6329.7,162.3,26341.29
83.81,39,1521,479,39,1521,169.92,28872.806,6626.88,169.92,28872.81
78.24,39,1521,480,39,1521,180.09,32432.408,7023.51,180.09,32432.41
72.56,39,1521,481,39,1521,179.6,32256.16,7004.4,179.6,32256.16
66.71,39,1521,482,39,1521,179.41,32187.948,6996.99,179.41,32187.95
53.91,39,1521,483,39,1521,183.57,33697.945,7159.23,183.57,33697.95
52.65,39,1521,484,39,1521,183.95,33837.602,7174.05,183.95,33837.6
50.66,39,1521,485,39,1521,179.86,32349.62,7014.54,179.86,32349.62
51.25,39,1521,486,39,1521,177.17,31389.209,6909.63,177.17,31389.21
52.03,39,1521,487,39,1521,177.38,31463.664,6917.82,177.38,31463.66
49.06,39,1521,488,39,1521,175.44,30779.194,6842.16,175.44,30779.19
47.17,39,1521,489,39,1521,179.65,32274.123,7006.35,179.65,32274.12
57.17,39,1521,490,39,1521,179.09,32073.228,6984.51,179.09,32073.23
51.42,39,1521,491,39,1521,175.83,30916.189,6857.37,175.83,30916.19
53.04,39,1521,492,39,1521,173.31,30036.356,6759.09,173.31,30036.36
50.19,39,1521,493,39,1521,178.6,31897.96,6965.4,178.6,31897.96
53.09,39,1521,494,39,1521,180.31,32511.696,7032.09,180.31,32511.7
58.79,39,1521,495,39,1521,180.71,32656.104,7047.69,180.71,32656.1
52.88,39,1521,496,39,1521,178.87,31994.477,6975.93,178.87,31994.48
48.5,39,1521,497,39,1521,179.54,32234.612,7002.06,179.54,32234.61
50.86,39,1521,498,39,1521,187.43,35130.005,7309.77,187.43,35130
101.42,124.6,15525.16,566,124.6,15525.16,176.36,31102.85,21974.456,176.36,31102.85
101.63,124.6,15525.16,567,124.6,15525.16,176.05,30993.603,21935.83,176.05,30993.6
93.5,124.6,15525.16,568,124.6,15525.16,178.74,31947.988,22271.004,178.74,31947.99
93.42,124.6,15525.16,569,124.6,15525.16,177.67,31566.629,22137.682,177.67,31566.63
86.33,124.6,15525.16,570,124.6,15525.16,176.41,31120.488,21980.686,176.41,31120.49
86.59,124.6,15525.16,571,124.6,15525.16,175.59,30831.848,21878.514,175.59,30831.85
84.66,124.6,15525.16,572,124.6,15525.16,170.61,29107.772,21258.006,170.61,29107.77
78,124.6,15525.16,573,124.6,15525.16,167.7,28123.29,20895.42,167.7,28123.29
78.55,124.6,15525.16,574,124.6,15525.16,175.1,30660.01,21817.46,175.1,30660.01
71.59,124.6,15525.16,575,124.6,15525.16,186.31,34711.416,23214.226,186.31,34711.42
67.18,124.6,15525.16,576,124.6,15525.16,186.49,34778.52,23236.654,186.49,34778.52
56.12,124.6,15525.16,577,124.6,15525.16,187.6,35193.76,23374.96,187.6,35193.76
46.98,124.6,15525.16,578,124.6,15525.16,186.77,34883.033,23271.542,186.77,34883.03
45.8,124.6,15525.16,579,124.6,15525.16,183.33,33609.889,22842.918,183.33,33609.89
46.56,124.6,15525.16,580,124.6,15525.16,179.45,32202.302,22359.47,179.45,32202.3
50.62,124.6,15525.16,581,124.6,15525.16,181.51,32945.88,22616.146,181.51,32945.88
52.54,124.6,15525.16,582,124.6,15525.16,181.31,32873.316,22591.226,181.31,32873.32
48.27,124.6,15525.16,583,124.6,15525.16,177.81,31616.396,22155.126,177.81,31616.4
48.01,124.6,15525.16,584,124.6,15525.16,175.52,30807.27,21869.792,175.52,30807.27
53.94,124.6,15525.16,585,124.6,15525.16,176.87,31282.997,22038.002,176.87,31283
55.11,124.6,15525.16,586,124.6,15525.16,178.92,32012.366,22293.432,178.92,32012.37
55.19,124.6,15525.16,587,124.6,15525.16,176.03,30986.561,21933.338,176.03,30986.56
53,124.6,15525.16,588,124.6,15525.16,178.81,31973.016,22279.726,178.81,31973.02
52.78,124.6,15525.16,589,124.6,15525.16,181.65,32996.723,22633.59,181.65,32996.72
51.88,124.6,15525.16,590,124.6,15525.16,181.94,33102.164,22669.724,181.94,33102.16
52.35,124.6,15525.16,591,124.6,15525.16,182.02,33131.28,22679.692,182.02,33131.28
54.59,124.6,15525.16,592,124.6,15525.16,182.19,33193.196,22700.874,182.19,33193.2
54.7,124.6,15525.16,593,124.6,15525.16,188.17,35407.949,23445.982,188.17,35407.95
90.39,75.4,5685.16,661,75.4,5685.16,175.37,30754.637,13222.898,175.37,30754.64
97.55,75.4,5685.16,662,75.4,5685.16,174.03,30286.441,13121.862,174.03,30286.44
91.44,75.4,5685.16,663,75.4,5685.16,175.39,30761.652,13224.406,175.39,30761.65
97.79,75.4,5685.16,664,75.4,5685.16,167.78,28150.128,12650.612,167.78,28150.13
98.21,75.4,5685.16,665,75.4,5685.16,178.2,31755.24,13436.28,178.2,31755.24
82.73,75.4,5685.16,666,75.4,5685.16,178.65,31915.823,13470.21,178.65,31915.82
81.04,75.4,5685.16,667,75.4,5685.16,172.44,29735.554,13001.976,172.44,29735.55
75.66,75.4,5685.16,668,75.4,5685.16,168.4,28358.56,12697.36,168.4,28358.56
77.86,75.4,5685.16,669,75.4,5685.16,174.54,30464.212,13160.316,174.54,30464.21
75.08,75.4,5685.16,670,75.4,5685.16,174.47,30439.781,13155.038,174.47,30439.78
66.21,75.4,5685.16,671,75.4,5685.16,183,33489,13798.2,183,33489
49.13,75.4,5685.16,672,75.4,5685.16,185.62,34454.784,13995.748,185.62,34454.78
50.78,75.4,5685.16,673,75.4,5685.16,179.61,32259.752,13542.594,179.61,32259.75
50.74,75.4,5685.16,674,75.4,5685.16,180.06,32421.604,13576.524,180.06,32421.6
48.18,75.4,5685.16,675,75.4,5685.16,179.86,32349.62,13561.444,179.86,32349.62
49.36,75.4,5685.16,676,75.4,5685.16,181.66,33000.356,13697.164,181.66,33000.36
53,75.4,5685.16,677,75.4,5685.16,176.41,31120.488,13301.314,176.41,31120.49
52.65,75.4,5685.16,678,75.4,5685.16,174.42,30422.336,13151.268,174.42,30422.34
52.04,75.4,5685.16,679,75.4,5685.16,176.97,31318.381,13343.538,176.97,31318.38
52.51,75.4,5685.16,680,75.4,5685.16,178.45,31844.402,13455.13,178.45,31844.4
49.68,75.4,5685.16,681,75.4,5685.16,177.4,31470.76,13375.96,177.4,31470.76
52.83,75.4,5685.16,682,75.4,5685.16,177.41,31474.308,13376.714,177.41,31474.31
51.01,75.4,5685.16,683,75.4,5685.16,178.47,31851.541,13456.638,178.47,31851.54
50.33,75.4,5685.16,684,75.4,5685.16,178.13,31730.297,13431.002,178.13,31730.3
51.79,75.4,5685.16,685,75.4,5685.16,183.38,33628.224,13826.852,183.38,33628.22
55,75.4,5685.16,686,75.4,5685.16,183.19,33558.576,13812.526,183.19,33558.58
53.27,75.4,5685.16,687,75.4,5685.16,188.97,35709.661,14248.338,188.97,35709.66
98.59,99.8,9960.04,756,99.8,9960.04,166.34,27668.996,16600.732,166.34,27669
96.45,99.8,9960.04,757,99.8,9960.04,165.23,27300.953,16489.954,165.23,27300.95
95.46,99.8,9960.04,758,99.8,9960.04,169.4,28696.36,16906.12,169.4,28696.36
98.21,99.8,9960.04,759,99.8,9960.04,169.02,28567.76,16868.196,169.02,28567.76
